timestamp,scope,marketId,activeDebtLoanCount,activeDebtInUsd,hf_le_100LoanCount,hf_le_100DebtInUsd,hf_100_110LoanCount,hf_100_110DebtInUsd,hf_110_125LoanCount,hf_110_125DebtInUsd,hf_125_150LoanCount,hf_125_150DebtInUsd,hf_150_200LoanCount,hf_150_200DebtInUsd,hf_gt_200LoanCount,hf_gt_200DebtInUsd,badDebtLoanCount,badDebtInUsd,badDebtShortfallInUsd
2026-07-17T18:06:26.398Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,12,78050.7037577506,0,0,0,0,4,59363.4534298458,3,3319.8686148716,1,1505.2242458274,4,13862.1574672058,0,0,0
2026-07-17T18:06:26.398Z,market,USDM,44,158281.544565,0,0,3,15188.660217,8,392.49410100000006,7,114583.971671,13,24401.441072999995,13,3714.977503,0,0,0
2026-07-17T18:06:26.398Z,market,USDT,19,353336.69414888,0,0,0,0,6,34254.456221809996,6,3921.23711919,5,314653.66828508,2,507.3325228,0,0,0
2026-07-17T18:06:26.398Z,protocol,,556,4093083.865227517,0,0,23,145711.78265357867,113,530411.8242938515,127,1813882.317320354,102,1228753.3621679137,191,374324.5787918187,1,34.08967394,0.5819447451647974
2026-07-18T08:46:41.233Z,market,Ada,82,592520.3907380119,1,0.01164447711,5,216.88103280438,14,1475.48274208587,15,6138.13613225526,17,565079.2361148732,30,19610.643071515864,1,0.01164447711,0
2026-07-18T08:46:41.233Z,market,BTC,15,31025.25645372,2,0.12336174,0,0,1,161.93689218,5,17640.2014965,5,7654.307696819999,2,5568.68700648,2,0.12336174,0
2026-07-18T08:46:41.233Z,market,COPI,2,0.01715341432871773,2,0.01715341432871773,0,0,0,0,0,0,0,0,0,0,2,0.01715341432871773,0
2026-07-18T08:46:41.233Z,market,DAI,2,14.629891,1,3.290974,0,0,1,11.338917,0,0,0,0,0,0,1,3.290974,3.1644849849834085
2026-07-18T08:46:41.233Z,market,DJED,90,922049.1422074547,3,8.2971672,4,68698.198566595,25,105960.84094876001,26,619995.1531967049,10,49702.248293155,22,77684.40403503999,3,8.2971672,3.5620269756266216
2026-07-18T08:46:41.233Z,market,ERG,4,2238.294623803008,0,0,0,0,0,0,1,1680.1878826582476,0,0,3,558.1067411447602,0,0,0
2026-07-18T08:46:41.233Z,market,ETH,7,2862.640974006,0,0,1,18.287882514,0,0,4,2397.0493000079996,0,0,2,447.303791484,0,0,0
2026-07-18T08:46:41.233Z,market,IAG,7,4253.33477722967,1,0.00819663416,0,0,0,0,1,117.56709912046,1,3191.78698355935,4,943.9724979156999,1,0.00819663416,0
2026-07-18T08:46:41.233Z,market,IUSD,54,116461.43443178682,6,5.68064364056,5,11389.768842113619,18,783.6521501090601,9,83428.30137995144,6,15222.91069971596,10,5631.1207162562005,6,5.68064364056,0
2026-07-18T08:46:41.233Z,market,MIN,38,17270.594041624467,0,0,0,0,0,0,2,303.668125396664,4,991.5143222302289,32,15975.411593997575,0,0,0
2026-07-18T08:46:41.233Z,market,NIGHT,12,17633.197597280265,1,14.674643624355,0,0,0,0,1,13.953654,3,216.299474950845,7,17388.26982470506,1,14.674643624355,0
2026-07-18T08:46:41.233Z,market,SHEN,10,2289.21448070128,1,0.095632559088,0,0,0,0,0,0,2,963.2832813824,7,1325.835566759792,1,0.095632559088,0
